num_colors,c1_h,c1_s,c1_v,c1_L,c1_a,c1_b,c2_h,c2_s,c2_v,c2_L,c2_a,c2_b,c3_h,c3_s,c3_v,c3_L,c3_a,c3_b,c4_h,c4_s,c4_v,c4_L,c4_a,c4_b,c5_h,c5_s,c5_v,c5_L,c5_a,c5_b,target_score
5,49.81,0.007,0.998,99.75,-0.15,0.7,49.81,0.057,0.903,90.52,-1.14,5.59,49.81,0.66,0.73,67.91,-4.28,53.73,19.81,0.431,0.508,42.54,12.82,16.67,229.81,0.816,0.886,39.08,44.34,-80.08,6.28
5,257.25,0.232,0.078,4.81,1.41,-2.4,257.25,0.291,0.194,14.76,5.66,-8.72,257.25,0.722,0.078,2.26,3.49,-6.18,302.25,0.419,0.67,52.32,39.42,-24.89,107.25,0.952,0.803,72.41,-68.58,70.06,4.69
5,5.51,0.9,0.9,50.05,68.35,56.21,14.66,0.038,0.908,89.93,1.87,1.85,14.66,0.697,0.742,49.97,37.75,37.07,44.66,0.586,0.695,63.25,0.38,43.71,164.66,0.923,0.927,83.79,-59.68,13.99,1.0
5,237.13,0.133,0.057,3.74,0.28,-0.86,237.13,0.228,0.123,8.73,1.75,-4.78,237.13,0.734,0.882,38.69,48.58,-80.17,192.13,0.671,0.672,57.1,-19.45,-20.13,57.13,0.892,0.909,86.71,-14.96,83.4,7.85
5,295.35,0.033,0.96,94.48,3.87,-2.97,295.35,0.022,0.917,91.34,2.5,-1.92,295.35,0.651,0.612,40.23,52.91,-36.86,265.35,0.673,0.521,27.33,37.03,-43.92,115.35,0.969,0.805,72.18,-72.01,70.09,5.8
5,125.4,0.047,0.952,94.68,-5.61,3.68,125.4,0.033,0.977,97.22,-4.09,2.68,125.4,0.719,0.727,66.49,-59.28,49.77,80.4,0.723,0.797,76.03,-37.13,63.96,275.4,0.85,0.916,43.97,75.7,-76.09,6.47
5,309.03,0.186,0.125,10.12,4.11,-2.4,309.03,0.251,0.13,9.97,5.78,-3.34,309.03,0.861,0.752,45.24,72.61,-34.95,264.03,0.556,0.589,35.82,32.89,-40.81,159.03,0.878,0.802,73.28,-56.21,19.76,5.96
5,243.64,0.197,0.099,6.84,1.39,-3.08,243.64,0.117,0.129,10.99,1.12,-2.58,243.64,0.741,0.766,32.32,48.53,-73.56,273.64,0.701,0.737,39.98,54.76,-56.46,63.64,0.823,0.986,95.09,-25.8,86.72,6.2
5,197.83,0.188,0.139,12.55,-1.59,-2.06,197.83,0.17,0.132,11.86,-1.38,-1.78,197.83,0.557,0.828,68.19,-15.28,-25.37,152.83,0.747,0.752,69.26,-52.21,22.25,347.83,0.94,0.815,44.08,68.46,34.29,5.43
5,40.03,0.9,0.9,71.02,15.59,71.59,83.96,0.07,0.919,91.93,-5.1,7.25,83.96,0.863,0.778,73.11,-44.99,69.07,38.96,0.551,0.525,47.13,3.96,30.41,263.96,0.876,0.941,39.19,74.08,-87.73,1.18
5,91.33,0.02,0.979,97.79,-1.76,2.11,91.33,0.059,0.961,95.68,-5.06,6.12,91.33,0.829,0.823,76.14,-53.11,69.53,136.33,0.633,0.789,72.47,-54.92,36.13,301.33,0.896,0.817,49.95,81.71,-49.13,6.13
5,349.16,0.002,0.995,99.37,0.2,0.02,349.16,0.042,0.979,95.37,3.86,0.35,349.16,0.53,0.766,52.32,43.15,9.42,304.16,0.43,0.55,42.91,34.06,-20.7,169.16,0.939,0.891,81.17,-54.3,6.04,4.92
5,138.31,0.247,0.142,13.2,-5.61,2.85,138.31,0.292,0.126,11.2,-5.97,3.06,138.31,0.658,0.142,11.94,-14.14,7.94,168.31,0.511,0.556,54.18,-26.32,0.58,288.31,0.878,0.846,45.99,78.01,-62.42,1.0
5,148.03,0.03,0.964,96.14,-3.15,1.04,148.03,0.011,0.906,91.45,-1.06,0.35,148.03,0.876,0.964,85.83,-72.18,41.84,178.03,0.645,0.625,60.09,-29.83,-6.96,298.03,0.973,0.809,48.05,82.24,-53.52,5.77
5,291.8,0.297,0.065,3.8,2.22,-1.85,291.8,0.219,0.158,13.2,5.72,-4.56,291.8,0.888,0.853,47.99,80.55,-60.09,321.8,0.425,0.511,39.44,28.73,-10.25,141.8,0.855,0.811,73.32,-65.27,43.91,9.3
5,261.4,0.038,0.969,94.49,2.78,-4.11,261.4,0.019,0.916,91.24,1.35,-2.0,261.4,0.601,0.682,38.7,39.34,-50.38,216.4,0.491,0.702,52.15,2.84,-31.97,51.4,0.872,0.823,74.74,-4.99,72.8,5.86
5,171.44,0.266,0.081,6.25,-2.31,-0.26,171.44,0.263,0.217,21.89,-6.52,-0.66,171.44,0.535,0.838,78.8,-36.4,-1.82,201.44,0.454,0.509,43.96,-7.37,-15.81,21.44,0.957,0.928,57.52,53.37,65.21,8.59
5,126.21,0.1,0.4,42.09,-5.87,3.84,126.21,0.1,0.4,42.09,-5.87,3.84,126.21,0.1,0.4,42.09,-5.87,3.84,81.21,0.1,0.4,42.6,-3.47,5.28,276.21,0.1,0.4,39.87,4.6,-4.93,1.0
5,177.16,0.1,0.4,42.33,-4.01,-1.06,177.16,0.1,0.4,42.33,-4.01,-1.06,177.16,0.1,0.4,42.33,-4.01,-1.06,132.16,0.1,0.4,42.11,-5.66,3.26,27.16,0.1,0.4,41.27,1.31,3.43,1.0
5,322.84,0.024,0.983,97.01,2.62,-1.06,322.84,0.014,0.915,91.66,1.43,-0.58,322.84,0.516,0.651,46.41,41.88,-13.37,277.84,0.539,0.51,33.52,32.8,-31.98,322.84,0.2,0.5,46.12,13.05,-4.95,7.14
5,181.23,0.035,0.952,95.1,-2.68,-1.03,181.23,0.064,0.95,94.41,-4.92,-1.87,181.23,0.533,0.862,80.67,-31.71,-11.11,226.23,0.551,0.501,32.39,10.51,-32.66,1.23,0.817,0.919,51.58,68.91,48.81,2.66
5,222.57,0.1,0.4,40.19,0.44,-4.52,222.57,0.1,0.4,40.19,0.44,-4.52,222.57,0.1,0.4,40.19,0.44,-4.52,267.57,0.1,0.4,39.74,4.03,-5.15,42.57,0.1,0.4,42.04,-0.26,4.53,1.0
5,265.47,0.009,0.978,97.42,0.72,-0.98,265.47,0.067,0.907,87.18,5.08,-6.81,265.47,0.714,0.67,33.69,48.28,-56.64,295.47,0.637,0.704,46.58,58.26,-40.53,115.47,0.93,0.896,79.66,-77.43,75.27,5.83
5,155.4,0.1,0.4,42.22,-4.82,1.03,155.4,0.1,0.4,42.22,-4.82,1.03,155.4,0.1,0.4,42.22,-4.82,1.03,185.4,0.1,0.4,42.07,-3.35,-1.74,335.4,0.1,0.4,40.06,4.93,-0.9,1.0
5,67.16,0.1,0.4,42.8,-2.51,5.6,67.16,0.1,0.4,42.8,-2.51,5.6,67.16,0.1,0.4,42.8,-2.51,5.6,22.16,0.1,0.4,41.03,1.82,3.07,277.16,0.1,0.4,39.89,4.66,-4.91,1.0
5,200.43,0.214,0.078,5.62,-0.73,-1.23,200.43,0.254,0.139,11.95,-1.81,-2.97,200.43,0.629,0.728,57.33,-11.48,-27.8,230.43,0.694,0.659,33.8,26.3,-54.98,20.43,0.922,0.858,53.68,49.44,59.72,10.0
5,169.77,0.9,0.9,82.05,-53.43,4.34,335.53,0.03,0.936,92.5,2.88,-0.55,335.53,0.719,0.765,46.28,59.33,-0.07,305.53,0.529,0.743,53.35,52.33,-30.15,155.53,0.828,0.801,73.13,-56.68,23.04,1.03
5,306.26,0.037,0.97,95.09,4.53,-2.88,306.26,0.075,0.979,93.55,9.19,-5.78,306.26,0.582,0.714,49.58,54.84,-30.71,336.26,0.696,0.672,41.34,52.17,0.05,306.26,0.2,0.5,46.35,14.43,-8.84,6.37
5,59.14,0.041,0.983,98.24,-1.68,4.84,59.14,0.042,0.929,93.41,-1.65,4.74,59.14,0.851,0.718,71.63,-15.23,69.22,14.14,0.581,0.714,51.66,30.05,28.28,269.14,0.925,0.908,38.38,75.53,-84.25,5.64
5,138.2,0.027,0.995,98.97,-3.11,1.5,138.2,0.05,0.909,90.91,-5.32,2.58,138.2,0.876,0.788,71.24,-65.93,48.78,93.2,0.677,0.55,53.04,-34.23,43.59,348.2,0.924,0.907,49.22,73.97,36.96,6.87
5,359.17,0.25,0.121,8.7,3.89,1.11,359.17,0.256,0.134,10.06,4.37,1.57,359.17,0.582,0.814,52.8,47.96,23.45,29.17,0.751,0.603,45.71,19.3,40.84,149.17,0.907,0.876,78.72,-67.39,38.54,7.77
5,53.97,0.146,0.122,11.53,-0.75,2.88,53.97,0.244,0.184,18.65,-1.67,6.85,53.97,0.778,0.763,72.28,-8.97,65.86,98.97,0.64,0.748,70.17,-45.76,52.37,203.97,0.982,0.917,57.39,2.1,-54.87,10.0
5,103.65,0.1,0.4,42.28,-4.99,4.79,103.65,0.1,0.4,42.28,-4.99,4.79,103.65,0.1,0.4,42.28,-4.99,4.79,148.65,0.1,0.4,42.19,-5.06,1.68,283.65,0.1,0.4,39.99,5.09,-4.75,1.0
5,265.12,0.047,0.996,96.23,3.76,-5.1,265.12,0.036,0.909,89.47,2.69,-3.65,265.12,0.894,0.996,41.34,78.71,-92.07,235.12,0.735,0.6,26.76,32.6,-57.34,55.12,0.904,0.918,85.59,-11.54,83.02,5.16
5,120.67,0.04,0.95,94.66,-4.93,3.52,120.67,0.027,0.932,93.34,-3.23,2.29,120.67,0.715,0.876,78.71,-69.55,62.31,90.67,0.586,0.644,62.27,-32.97,43.93,330.67,0.89,0.845,47.56,72.82,-1.09,3.14
5,59.58,0.002,0.966,96.95,-0.07,0.2,59.58,0.062,0.922,92.72,-2.48,7.08,59.58,0.588,0.664,67.37,-12.87,49.9,89.58,0.471,0.788,75.9,-31.4,42.23,239.58,0.911,0.972,33.07,73.28,-102.55,6.61
5,180.79,0.219,0.057,4.06,-0.95,-0.36,180.79,0.25,0.141,13.3,-3.88,-1.38,180.79,0.859,0.662,62.17,-33.33,-11.0,210.79,0.65,0.613,43.01,0.37,-33.28,30.79,0.813,0.955,69.66,29.23,64.72,8.94
5,178.92,0.253,0.06,4.34,-1.24,-0.4,178.92,0.167,0.128,11.97,-2.5,-0.77,178.92,0.801,0.682,64.57,-34.98,-8.88,223.92,0.658,0.623,36.69,15.19,-44.74,28.92,0.996,0.968,64.22,43.84,71.57,10.0
5,9.75,0.144,0.073,5.17,0.78,0.53,9.75,0.234,0.122,9.43,2.76,1.95,9.75,0.542,0.84,59.84,36.1,27.29,54.75,0.755,0.667,64.54,-9.07,58.47,159.75,0.961,0.998,89.01,-68.4,25.7,9.32
5,4.68,0.117,0.071,5.04,0.7,0.34,4.68,0.105,0.138,12.52,1.56,0.78,4.68,0.733,0.726,43.95,49.72,34.5,334.68,0.764,0.687,40.64,56.94,0.0,214.68,0.852,0.876,48.96,17.09,-62.55,7.34
5,299.04,0.169,0.127,10.59,3.96,-2.81,299.04,0.173,0.206,19.05,6.1,-4.31,299.04,0.588,0.892,61.33,67.9,-44.24,254.04,0.456,0.761,50.15,28.51,-43.6,149.04,0.979,0.96,85.3,-74.49,45.86,10.0
5,78.49,0.032,0.971,97.07,-2.21,3.54,78.49,0.011,0.972,97.41,-0.73,1.16,78.49,0.776,0.805,76.72,-37.47,68.07,48.49,0.766,0.535,49.47,-1.62,46.67,258.49,0.855,0.911,36.74,69.45,-87.49,4.13
5,259.27,0.121,0.064,4.34,0.58,-0.92,259.27,0.153,0.147,12.51,2.32,-3.54,259.27,0.793,0.675,29.19,51.45,-64.92,289.27,0.666,0.553,34.51,47.3,-37.01,79.27,0.968,0.881,82.17,-47.38,79.68,5.5
5,265.69,0.117,0.11,8.96,1.53,-2.04,265.69,0.149,0.159,13.96,2.71,-3.59,265.69,0.615,0.707,40.19,43.41,-51.6,295.69,0.689,0.683,43.93,60.45,-41.69,55.69,0.895,0.933,87.37,-12.73,84.16,6.95
5,174.15,0.013,0.977,97.72,-1.17,-0.23,174.15,0.013,0.967,96.87,-1.11,-0.22,174.15,0.839,0.887,81.48,-47.71,-3.54,219.15,0.534,0.731,51.14,6.68,-37.93,354.15,0.869,0.87,47.78,69.57,41.56,3.87
5,88.7,0.041,0.99,98.5,-3.43,4.37,88.7,0.056,0.922,92.28,-4.39,5.61,88.7,0.736,0.708,67.19,-41.19,57.63,43.7,0.723,0.789,68.33,3.8,57.84,88.7,0.2,0.5,51.76,-9.47,12.38,4.35
5,314.26,0.246,0.131,10.03,5.51,-2.8,314.26,0.232,0.189,16.29,7.11,-3.6,314.26,0.84,0.675,40.28,64.44,-25.41,344.26,0.659,0.708,44.18,50.46,8.36,134.26,0.989,0.808,72.49,-71.25,60.94,7.6
5,43.39,0.1,0.4,42.08,-0.34,4.58,43.39,0.1,0.4,42.08,-0.34,4.58,43.39,0.1,0.4,42.08,-0.34,4.58,358.39,0.1,0.4,39.95,4.16,1.34,193.39,0.1,0.4,41.67,-2.54,-2.34,1.0
5,173.18,0.277,0.103,8.67,-2.9,-0.54,173.18,0.188,0.16,15.8,-3.61,-0.56,173.18,0.729,0.841,78.03,-43.65,-2.79,128.18,0.716,0.596,55.32,-49.98,39.92,323.18,0.904,0.885,50.45,78.1,-14.47,8.8
5,7.66,0.275,0.103,7.1,2.82,1.62,7.66,0.288,0.2,16.65,5.66,3.54,7.66,0.899,0.705,39.86,54.7,46.32,337.66,0.435,0.511,38.63,26.96,-1.85,7.66,0.2,0.5,46.53,8.27,5.14,2.63
5,121.09,0.026,0.987,98.18,-3.3,2.33,121.09,0.0,0.937,94.45,-0.03,0.02,121.09,0.619,0.987,88.32,-69.63,59.76,91.09,0.493,0.513,50.82,-23.76,30.96,301.09,0.982,0.809,48.93,82.91,-49.91,4.69
5,184.57,0.9,0.9,78.37,-36.66,-19.88,287.28,0.296,0.208,16.89,9.38,-8.0,287.28,0.74,0.871,50.54,72.44,-58.69,257.28,0.467,0.797,52.23,31.85,-45.62,137.28,0.88,0.968,85.7,-77.85,59.3,1.0
5,16.9,0.177,0.054,3.57,0.43,0.47,16.9,0.291,0.203,17.59,4.2,4.67,16.9,0.82,0.789,50.34,44.85,48.78,61.9,0.754,0.778,77.44,-18.8,68.76,166.9,0.905,0.852,77.87,-53.7,8.88,8.43
5,293.7,0.011,0.961,95.87,1.3,-1.03,293.7,0.043,0.947,92.7,4.96,-3.9,293.7,0.732,0.627,38.77,58.12,-41.6,323.7,0.556,0.582,40.35,40.79,-12.09,113.7,0.978,0.991,87.19,-84.18,82.37,5.13
5,118.46,0.047,0.987,97.73,-5.83,4.31,118.46,0.023,0.92,92.41,-2.66,1.96,118.46,0.502,0.987,89.63,-58.8,49.74,73.46,0.598,0.524,52.87,-18.99,40.05,298.46,0.979,0.998,59.25,96.81,-62.37,3.97
5,205.67,0.232,0.104,8.13,-0.91,-2.16,205.67,0.273,0.193,17.3,-1.73,-4.83,205.67,0.709,0.86,60.75,-4.93,-41.5,160.67,0.74,0.76,70.4,-48.26,12.66,25.67,0.867,0.848,57.7,37.46,58.93,9.79
5,222.7,0.251,0.066,4.05,0.17,-1.63,222.7,0.276,0.207,17.27,1.01,-7.31,222.7,0.512,0.848,58.06,10.74,-43.81,192.7,0.728,0.569,47.7,-16.96,-19.28,72.7,0.832,0.964,91.02,-37.79,83.01,9.91
5,335.53,0.9,0.9,50.0,75.4,9.04,30.28,0.123,0.158,15.22,0.56,2.06,30.28,0.504,0.846,70.45,13.46,36.12,345.28,0.443,0.728,53.65,35.2,3.41,180.28,0.886,0.968,88.33,-45.7,-14.04,2.95
5,283.97,0.009,0.989,98.41,0.91,-0.86,283.97,0.076,0.913,87.55,7.58,-7.04,283.97,0.808,0.813,43.86,70.77,-61.1,253.97,0.538,0.686,40.92,32.01,-47.42,133.97,0.97,0.998,87.79,-83.45,71.47,6.03
5,272.97,0.105,0.052,3.54,0.45,-0.53,272.97,0.165,0.169,14.86,3.55,-4.03,272.97,0.808,0.805,39.05,65.37,-68.02,242.97,0.464,0.641,40.92,21.5,-40.57,92.97,0.82,0.971,88.1,-61.81,78.4,7.33
5,249.73,0.011,0.954,95.11,0.62,-1.24,249.73,0.054,0.952,91.67,3.12,-6.15,249.73,0.609,0.954,50.23,46.97,-71.5,204.73,0.413,0.719,60.91,-6.88,-20.95,99.73,0.884,0.928,83.44,-68.85,77.3,3.71
5,321.88,0.146,0.071,4.93,1.31,-0.54,321.88,0.106,0.185,17.79,3.01,-1.24,321.88,0.647,0.859,55.31,63.97,-19.3,276.88,0.617,0.548,33.06,39.38,-38.71,141.88,0.974,0.955,84.63,-77.85,57.73,9.77
5,190.93,0.104,0.13,12.21,-1.13,-0.87,190.93,0.159,0.211,21.25,-2.58,-1.99,190.93,0.887,0.656,53.75,-20.83,-22.93,235.93,0.593,0.535,29.33,21.51,-43.01,10.93,0.921,0.85,48.66,61.34,56.2,7.7
5,209.51,0.154,0.13,11.38,-0.53,-2.12,209.51,0.162,0.166,15.35,-0.67,-2.75,209.51,0.505,0.622,48.72,-2.76,-25.54,164.51,0.558,0.792,74.46,-39.14,4.89,359.51,0.858,0.939,51.49,72.95,52.72,7.49
5,326.81,0.245,0.125,9.37,4.87,-1.55,326.81,0.129,0.13,11.3,2.63,-0.87,326.81,0.728,0.125,5.12,12.43,-2.84,296.81,0.647,0.711,47.13,60.07,-40.65,116.81,0.955,0.988,86.92,-84.38,81.69,4.79
5,296.83,0.018,0.966,95.9,2.16,-1.62,296.83,0.078,0.916,87.94,9.15,-6.79,296.83,0.777,0.846,52.21,78.02,-52.26,266.83,0.467,0.531,36.3,25.76,-31.03,146.83,0.825,0.979,87.24,-71.69,41.32,3.72
5,18.71,0.027,0.985,97.39,1.19,1.57,18.71,0.07,0.957,92.89,3.06,3.99,18.71,0.821,0.702,45.8,38.58,45.12,63.71,0.594,0.698,70.21,-16.6,51.91,168.71,0.963,0.89,81.05,-55.1,7.31,6.27
5,82.24,0.9,0.9,83.52,-49.83,78.97,260.94,0.038,0.949,92.75,2.75,-4.1,260.94,0.632,0.741,40.25,44.33,-56.67,290.94,0.473,0.737,53.62,44.46,-34.32,110.94,0.809,0.832,75.16,-67.22,66.81,3.22
5,195.29,0.199,0.058,4.02,-0.54,-0.6,195.29,0.181,0.142,13.08,-1.75,-1.87,195.29,0.667,0.661,54.47,-15.98,-22.57,240.29,0.585,0.76,40.32,33.44,-59.57,45.29,0.883,0.969,80.92,5.99,78.82,10.0
5,14.44,0.273,0.108,7.9,1.77,2.18,14.44,0.188,0.193,17.78,2.75,2.63,14.44,0.695,0.108,5.09,5.58,4.04,344.44,0.717,0.697,41.77,53.24,10.85,224.44,0.918,0.982,42.52,47.65,-88.36,2.96
5,227.36,0.247,0.063,3.81,0.3,-1.6,227.36,0.243,0.211,17.88,1.55,-7.03,227.36,0.572,0.671,41.78,15.79,-43.91,197.36,0.605,0.624,51.67,-13.03,-21.37,17.36,0.898,0.849,52.12,52.02,56.94,6.88
5,238.54,0.005,0.983,98.09,0.2,-0.56,238.54,0.025,0.932,92.08,1.0,-2.82,238.54,0.843,0.603,21.25,44.74,-66.95,268.54,0.709,0.539,27.66,41.22,-46.21,58.54,0.847,0.847,82.68,-16.36,78.19,4.37
5,61.11,0.204,0.084,6.95,-0.99,2.58,61.11,0.266,0.163,16.52,-2.48,7.23,61.11,0.599,0.785,78.46,-16.17,58.09,91.11,0.501,0.608,59.53,-27.65,36.09,241.11,0.921,0.871,29.06,68.11,-94.62,6.37
5,210.73,0.274,0.071,4.54,-0.29,-1.63,210.73,0.122,0.147,13.64,-0.41,-1.92,210.73,0.523,0.071,3.7,-0.38,-2.89,165.73,0.421,0.692,66.95,-27.4,1.81,60.73,0.89,0.987,95.83,-22.18,90.74,5.16
5,14.97,0.1,0.4,40.67,2.56,2.56,14.97,0.1,0.4,40.67,2.56,2.56,14.97,0.1,0.4,40.67,2.56,2.56,44.97,0.1,0.4,42.16,-0.5,4.7,224.97,0.1,0.4,40.07,0.69,-4.7,1.0
5,349.17,0.119,0.117,9.86,1.88,0.18,349.17,0.189,0.207,18.58,4.95,0.55,349.17,0.571,0.808,53.26,48.46,11.56,34.17,0.791,0.612,48.11,15.26,45.91,139.17,0.899,0.924,82.19,-74.96,55.63,9.75
5,276.67,0.123,0.13,11.18,2.2,-2.34,276.67,0.284,0.18,14.1,6.93,-7.22,276.67,0.876,0.848,40.48,72.85,-71.95,231.67,0.66,0.532,27.92,21.14,-44.82,66.67,1.0,0.81,78.75,-28.06,78.51,7.6
5,2.07,0.9,0.9,49.18,70.82,55.61,32.57,0.052,0.961,94.81,0.77,4.03,32.57,0.87,0.731,54.27,23.23,55.93,2.57,0.705,0.739,44.83,50.59,32.07,242.57,0.974,0.875,28.29,70.63,-96.48,1.0
5,226.88,0.03,0.978,96.04,0.52,-3.04,226.88,0.03,0.944,93.06,0.5,-2.95,226.88,0.739,0.764,39.1,27.94,-62.11,271.88,0.491,0.522,35.31,28.45,-31.11,76.88,0.834,0.929,87.21,-42.04,79.65,4.4
5,186.87,0.196,0.053,3.69,-0.63,-0.37,186.87,0.168,0.158,15.34,-2.45,-1.41,186.87,0.66,0.774,68.68,-27.33,-17.06,141.87,0.591,0.618,58.36,-41.32,22.92,36.87,0.963,0.944,70.11,25.14,73.81,10.0
5,296.06,0.022,0.995,98.17,2.65,-2.01,296.06,0.006,0.976,97.56,0.69,-0.52,296.06,0.762,0.714,44.26,67.14,-45.74,251.06,0.774,0.605,24.99,43.78,-61.13,86.06,0.833,0.923,85.17,-52.73,77.26,3.57
5,194.1,0.162,0.111,9.57,-1.35,-1.31,194.1,0.243,0.147,13.33,-2.52,-2.48,194.1,0.665,0.637,53.26,-16.7,-20.82,239.1,0.449,0.758,49.03,21.87,-45.09,194.1,0.2,0.5,49.7,-5.73,-5.66,6.3
5,92.36,0.048,0.974,96.96,-4.23,5.0,92.36,0.064,0.944,94.06,-5.51,6.53,92.36,0.517,0.79,75.38,-35.93,45.87,137.36,0.401,0.691,66.3,-33.33,18.91,92.36,0.2,0.5,51.64,-10.08,12.19,2.41
5,312.93,0.9,0.9,52.79,82.9,-33.3,324.01,0.256,0.147,11.61,5.99,-2.16,324.01,0.829,0.727,42.52,64.89,-13.24,294.01,0.724,0.73,45.37,65.16,-46.36,114.01,0.89,0.917,81.54,-77.29,75.56,1.0
